Blog	nature	cream	details	lovely	yours	flight	machine	unfortunately	buying	garden	hall	previous	six	continue	exciting	drink	human	hospital	smell	h	woke	built	bear	covered	wild	november	letter	w	count	herself	greatest	nd	fear	worst	natural	letting	ate	gotten	de	calls	west	speed	obviously	showing	meaning	co	throughout	regular	artist	creative	interest	mentioned	presents	thanksgiving	north	goodbye	vacation	figured	okay	island	changing	difficult	south	cross	afraid	plane	kill	begin	moon	title	staying	created	hat	chair	seconds	cards	legs	sea	teach	drove	ya	general	crying	currently	reality	honest	fat	appreciate	station	pack	among	posts	mood	began	opening	thinks	film	chris	quality	silly	french	push	particular	ourselves	changes	hasn	jump	bet	language	nervous	program	series	january	credit	sugar	members	scene	cost	beyond	smart	radio	dr	paid	paint	tea	war	soft	immediately	dry	managed	bowl	involved	lay	eventually	background	pants	dirty	dogs	king	santa	celebration	dropped	asleep	slowly	mad	lesson	actual	healthy	fingers	result	offer	consider	river	followed	wet	easily	action	bird	david	article	halloween	contact	board	events	included	wine	magic	system	excuse	match	scared	whenever	inspired	key	dressed	cheap	adventure	include	sight	taught	skin	gotta	search	bus	comfortable	album	strange	hearing	hole	literally	mail	bottle	collection	lines	player	uncle	shower	ring	lie	performance	joined	image	packed	effort	becoming	lazy	difference	anywhere	anniversary	james	mountain	hearts	closed	february	position	seat	trust	row	apartment	focus	hill	birth	ah	rose	jesus	walls	per	serve	planning	shall	race	ends	blame	rules	besides	mini	lord	sale	seven	scary	edge	doctor	festival	discovered	friendly	michael	restaurant	despite	challenge	blast	concert	sharing	carry	videos	latest	california	pre	san	lessons	screen	grab	mixed	helps	character	laughed	faces	term	kinda	community	kiss	according	bill	boring	planned	holidays	dying	familiar	journey	stupid	further	tells	laid	shape	perhaps	angel	ha	blogs	midnight	shoot	mess	breaking	health	jack	heads	honestly	wanting	teeth	force	grade	lake	practice	reminds	apple	eve	battle	higher	cd	field	design	member	doors	checked	cheese	wanna	saved	tickets	handle	slept	reminded	camp	nobody	musical	cousin	magazine	colors	doubt	airport	studio	feelings	square	brand	ear	harder	giant	younger	shouldn	bringing	golden	crowd	teacher	pulling	expensive	finger	sometime	direction	breath	smoke	birds	students	hardly	interview	subject	common	mirror	animals	typical	bags	remembered	progress	wood	product	allowed	ears	sisters	hide	setting	press	session	checking	hadn	expected	build	issues	thankful	degrees	positive	modern	served	plenty	states	hungry	aside	tough	skills	suddenly	arm	notes	grandma	fix	sang	mid	joke	hung	cash	kinds	successful	babies	picking	daddy	national	passing	ma	guest	painting	gas	goal	pray	release	east	rolling	social	continued	shut	terrible	mary	george	parking	blow	various	rich	decision	popular	loss	talent	hilarious	describe	respect	classic	delicious	falls	pizza	certainly	coast	tom	via	student	ending	cell	otherwise	success	bye	streets	university	begins	eggs	easter	yard	youth	heading	relationship	results	forth	nose	fashion	drinking	swear	ain	distance	obvious	lonely	projects	puts	block	effect	honey	everybody	review	former	likely	numbers	female	pics	talented	fully	towards	value	shots	gifts	officially	highly	freedom	neck	agree	barely	related	mike	signed	annual	master	excitement	runs	crew	ocean	fourth	chose	sex	spread	flash	burn	pure
Loquaciousness	10	25	3	33	7	12	3	23	3	16	8	8	13	9	16	9	11	3	6	2	5	5	6	5	7	9	3	2	4	1	12	6	6	4	14	3	21	1	69	8	13	4	25	8	1	14	21	6	10	3	6	12	4	15	42	6	6	10	6	17	8	13	36	16	0	3	0	12	2	5	8	7	7	2	2	7	6	14	3	22	5	17	0	11	8	5	4	14	6	7	4	10	4	15	3	1	8	1	14	6	55	6	14	21	3	3	4	4	10	3	31	8	7	7	16	4	13	5	19	2	4	2	8	12	50	9	7	5	8	6	11	6	3	6	9	5	3	7	5	0	3	4	2	3	6	3	11	5	7	3	5	11	14	5	3	12	7	7	2	5	6	5	8	9	10	21	3	8	9	3	7	15	11	4	6	6	17	4	2	2	5	1	3	40	11	16	1	6	3	10	10	6	2	5	9	7	2	0	6	13	15	5	10	10	8	3	3	4	6	3	30	4	1	6	4	4	6	8	24	7	7	4	9	1	0	17	5	7	9	8	8	4	4	2	5	10	0	2	8	0	5	0	18	2	11	4	37	27	7	10	35	6	10	6	1	4	3	7	7	3	3	8	3	7	1	12	9	1	21	0	11	5	1	7	6	0	6	3	0	7	1	2	2	30	1	22	4	3	4	2	9	7	3	3	17	5	2	5	4	56	19	1	6	4	5	6	2	27	6	5	2	4	29	0	3	2	5	11	8	4	0	4	2	12	11	13	9	7	1	24	2	2	2	21	4	3	6	8	11	9	5	11	27	1	6	1	2	11	56	7	4	1	4	5	3	12	11	2	5	12	4	6	2	3	1	8	4	3	4	3	1	2	9	8	19	8	6	6	3	13	3	21	7	7	5	2	7	3	3	2	11	2	7	1	1	1	0	5	0	19	5	3	6	28	1	4	1	2	20	4	20	5	1	11	13	2	2	3	10	5	4	2	2	8	9	2	2	4	32	4	8	22	14	9	7	32	5	2	16	3	4	19	20	0	15	3	4	3	14	2	2	6	2	7	9	4	1	5	5	2	2	0	7	2	13	0	10	14	4	2	3	1	2	7	8	6	10	10	7	6	2	5	6	8	6	4	4	10	5	4	2	6	5	7	5	1	6	7	3	6
pretty, silly things	1	0	0	4	3	0	0	2	2	0	0	0	3	1	1	1	0	0	7	2	2	3	2	3	0	0	3	0	1	2	2	1	6	1	4	4	2	0	0	2	10	0	2	2	2	0	0	2	6	1	0	0	0	1	3	4	2	1	3	3	3	0	3	3	1	0	0	3	3	0	1	0	3	0	0	1	2	1	0	0	1	0	0	1	1	0	2	0	4	5	0	0	0	1	2	3	2	1	0	9	0	0	1	4	1	0	3	1	0	2	3	0	0	2	0	0	1	0	0	0	1	1	1	5	0	2	1	1	1	0	0	0	1	2	0	2	4	1	2	2	1	3	6	4	4	2	3	1	6	0	0	3	18	5	5	0	0	4	2	2	2	0	0	0	0	1	1	2	2	0	0	2	0	1	1	0	3	0	0	1	13	0	2	2	0	0	6	0	2	0	3	2	1	1	0	3	0	7	1	0	1	3	1	0	2	0	0	2	1	3	0	1	2	0	0	2	0	1	4	2	1	3	0	2	3	3	1	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	0	1	0	14	1	2	0	0	0	1	1	0	0	5	1	4	1	2	3	1	1	2	5	1	1	0	2	4	0	0	0	0	0	1	1	1	0	1	0	3	3	2	0	0	0	0	2	0	1	1	2	4	3	0	2	0	1	1	0	0	0	0	2	1	0	0	4	7	1	0	0	1	1	1	3	6	0	3	0	0	0	2	0	0	0	14	2	2	0	5	2	3	1	0	1	6	2	0	4	0	1	1	2	5	1	6	1	0	2	0	0	5	1	0	1	1	1	0	3	4	1	1	3	0	1	0	0	0	0	3	1	3	0	0	0	2	0	3	0	1	0	0	1	8	1	2	1	1	2	0	2	1	0	0	3	0	0	0	2	1	2	2	3	0	0	1	5	0	2	0	1	6	3	0	2	2	0	0	2	0	2	0	0	2	0	0	0	3	0	1	5	0	0	1	11	1	0	3	0	2	0	3	0	0	1	0	0	0	0	0	2	1	2	0	1	3	0	1	1	0	4	0	0	0	0	3	2	0	0	1	0	0	3	0	1	0	2	0	3	3	0	2	0	2	0	1	0	1	0	0	1	1	0	0	1	0	0	0
typing off-the-record	0	21	0	0	0	0	0	0	2	0	0	0	0	4	0	1	0	1	3	0	2	0	0	2	0	0	2	0	2	0	0	0	2	0	0	2	3	0	1	1	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	1	0	2	1	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	2	1	1	0	0	1	0	0	1	0	2	1	1	0	1	0	0	0	0	1	0	0	1	0	26	0	0	0	1	4	0	0	0	1	0	0	6	0	5	0	9	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	2	1	0	0	1	0	1	0	3	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	4	1	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	8	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	2	2	2	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	3	0	0	0	2	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	21	0	0	0	0	0	1	0	0	0	1	3	0	1	0	0	1	0	1	0	1	2	0	0	1	3	0	0	0	0	2	0	2	0	2	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	2	0	0	1	1	0	3	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	2	0	1	1	0	0	0	2	1	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	2
Jaci Bounds	0	1	0	0	0	0	4	0	0	0	2	3	0	4	3	0	1	2	5	1	1	2	1	1	2	2	1	4	2	7	1	0	3	3	1	0	2	3	0	5	1	2	0	0	0	2	7	2	2	1	0	2	0	2	1	3	2	4	6	2	1	2	1	2	3	2	3	7	0	0	0	2	0	8	2	0	1	0	3	2	0	1	0	0	10	5	0	0	1	1	2	0	1	2	1	1	1	4	1	1	0	1	4	0	0	6	0	2	1	2	2	1	4	1	1	1	0	0	0	0	2	2	1	4	3	1	0	3	2	0	0	2	1	3	0	2	1	3	4	0	0	1	2	3	0	5	2	0	1	0	3	0	1	1	0	1	0	1	3	0	4	1	0	3	0	1	3	0	1	1	1	1	0	1	4	1	2	1	2	1	2	0	1	0	1	0	10	2	2	0	1	1	0	0	1	1	2	3	1	22	1	0	0	0	2	1	0	0	1	2	0	0	0	0	0	0	2	6	2	1	0	1	0	2	20	0	0	0	1	0	1	1	1	2	1	1	11	0	0	9	0	10	0	2	0	19	3	0	1	2	6	3	0	2	1	2	0	0	0	3	0	0	0	3	6	2	0	0	6	1	0	2	4	1	0	1	0	0	0	1	3	1	0	0	3	33	0	0	1	1	2	1	0	1	6	0	0	0	7	2	0	3	0	0	2	1	2	0	0	1	1	2	1	2	4	5	0	3	5	19	1	3	0	0	2	4	0	0	0	0	0	0	0	3	3	1	1	1	2	1	1	0	1	0	0	3	0	2	27	0	1	0	1	0	2	0	0	0	0	1	0	2	3	1	2	1	0	1	0	1	2	1	1	3	0	0	0	0	0	1	0	0	2	5	0	1	4	0	0	9	1	1	1	2	1	0	0	0	1	3	1	2	0	0	1	3	6	1	1	2	0	2	0	0	1	0	1	1	0	1	0	0	1	3	2	0	0	1	1	2	4	0	0	0	0	16	2	7	0	0	1	1	7	2	1	3	0	17	0	1	0	2	2	0	0	1	3	1	1	2	0	0	0	1	1	2	0	0	1	1	2	1	17	0	0	0	1	0	1	0	0	1	9	2	1	13	2	3	1	0	1	0	2	0	1	1	0	0	0	0
Evin on Earth	0	1	0	0	0	0	0	0	3	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	2	0	3	0	0	4	1	1	1	1	0	0	0	0	2	0	0	0	14	2	0	1	0	0	1	1	0	1	0	0	2	0	0	1	0	0	0	2	0	5	1	0	0	1	1	1	0	3	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	1	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	3	2	0	0	2	0	1	0	0	5	2	0	1	28	0	0	0	0	0	0	1	0	1	0	1	0	1	2	3	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	2	4	14	4	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	8	0	2	2	0	0	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	6	0	0	0	0	0	0	2	1	0	1	0	1	0	4	0	0	0	1	0	1	0	3	0	0	0	1	1	11	1	1	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	5	0	0	1	0	1	0	0	0	0	0	0	1	1	2	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	22	0	0	0	3	0	0	0	0	0	0	1	0	0	0
August Amour	1	10	4	7	2	1	2	5	3	0	1	0	4	1	8	3	7	10	2	2	14	0	4	1	2	2	3	2	4	1	19	4	2	7	1	4	8	3	2	0	0	3	1	2	3	0	3	0	0	6	1	1	3	11	1	5	7	2	9	1	3	0	2	0	2	3	4	2	4	0	2	0	0	1	1	4	3	2	1	8	24	2	4	3	7	1	2	1	0	1	1	4	7	4	1	3	0	9	4	0	4	1	2	4	1	4	3	3	2	3	0	0	4	0	1	0	0	3	1	0	0	7	1	2	1	1	1	6	2	1	0	0	0	1	4	5	1	6	1	0	0	7	5	0	3	3	0	10	7	8	0	2	5	1	0	1	0	0	6	2	1	2	3	0	1	0	4	0	2	3	5	7	0	3	3	3	8	0	3	4	0	2	1	2	2	0	2	1	1	5	0	5	0	2	3	6	11	5	1	0	2	0	2	0	2	4	0	1	5	1	3	5	2	0	0	1	0	2	15	0	1	5	0	1	2	0	2	2	5	0	0	2	3	1	3	3	9	1	6	1	2	5	0	1	2	4	2	3	4	20	3	2	1	0	3	13	2	5	2	2	1	0	1	2	3	2	0	2	1	4	2	0	9	2	2	8	0	1	9	1	0	4	2	0	0	10	5	0	0	3	1	5	2	2	23	6	4	0	8	6	0	0	3	1	3	2	4	4	0	0	2	3	5	8	2	4	0	6	6	1	0	0	3	0	2	3	2	0	0	5	1	6	2	2	1	1	2	1	0	1	2	5	4	2	1	5	2	1	0	3	0	1	0	0	1	1	2	1	0	7	2	1	2	3	0	0	0	1	2	0	0	0	1	1	0	1	3	4	1	1	3	0	2	0	1	3	0	11	1	0	3	7	6	0	0	0	4	3	15	11	0	5	0	1	6	2	1	0	2	1	0	0	1	2	3	5	3	1	0	0	3	0	2	3	9	3	0	1	11	3	2	1	6	1	0	1	1	2	0	0	1	0	0	0	2	5	3	0	2	2	0	2	1	2	1	7	0	0	2	1	0	4	0	2	0	0	0	0	1	0	0	3	4	1	1	1	0	2	2	2	3	2	0	1	0	1	1	0	0	2	3	3	0	4	1	2	0	1	1	2
la fiebrE y la tortugA	0	0	0	0	0	0	0	1	0	0	0	2	7	0	0	0	0	0	0	5	4	0	6	3	0	0	0	0	0	1	0	0	3	0	1	4	1	0	342	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	1	1	3	0	3	0	8	1	0	0	0	0	1	0	0	4	0	3	19	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	1	0	1	2	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	4	1	4	1	0	0	1	1	1	0	0	0	0	0	0	0	3	0	1	0	0	0	2	0	1	0	3	2	0	1	3	0	0	0	0	1	0	0	0	0	0	0	10	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	7	0	0	0	0	0	0	5	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	3	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Living Aloud!	1	12	2	0	5	4	1	2	3	5	4	1	1	7	0	8	9	7	6	1	7	0	3	6	0	10	0	1	3	3	0	3	1	1	1	0	1	2	1	0	1	6	5	0	4	3	3	0	1	1	1	3	0	0	2	1	2	0	24	0	1	1	1	0	1	2	4	3	5	0	5	1	0	0	4	2	1	0	1	2	2	0	3	4	1	11	2	3	0	2	0	0	5	2	9	5	0	2	3	2	6	0	0	3	6	4	1	8	3	3	1	8	2	0	2	5	4	2	3	4	1	7	2	1	7	3	4	2	2	4	0	0	3	2	2	0	0	1	4	0	2	7	4	5	2	6	1	3	2	6	3	2	2	1	2	3	1	1	3	2	0	1	1	10	2	2	0	1	2	0	3	4	0	1	0	1	2	0	3	1	2	7	0	2	0	8	4	1	1	0	0	2	7	1	0	11	0	1	1	11	3	1	2	0	2	3	3	4	0	9	5	4	3	4	0	1	6	2	0	0	5	1	6	3	0	3	9	3	7	2	2	3	6	0	8	1	0	1	1	2	0	2	7	3	0	5	4	2	1	0	1	0	0	2	7	0	3	1	1	0	4	2	1	2	3	3	5	9	0	3	10	3	3	1	6	1	2	6	7	3	1	0	1	1	1	1	1	9	4	0	5	2	4	2	6	1	1	1	0	1	1	6	0	3	7	2	1	4	6	3	3	4	10	17	1	6	2	4	1	1	2	1	6	4	1	2	0	0	1	3	7	1	2	2	0	2	0	2	5	0	2	9	1	2	3	0	1	3	5	5	8	1	1	3	0	3	5	3	0	1	0	1	0	0	4	0	0	6	1	0	5	2	0	0	0	2	1	0	8	3	7	2	2	4	8	7	4	3	2	1	10	3	2	2	1	6	1	2	0	1	0	1	3	0	3	1	0	3	1	3	0	0	3	0	0	2	1	4	1	2	0	7	0	5	2	4	2	2	6	3	3	0	3	0	0	9	5	0	0	3	6	0	3	0	3	0	2	1	0	5	7	0	2	1	0	2	8	2	2	2	0	0	0	2	4	1	9	0	0	0	0	13	2	2	2	0	2	1	2	3	2	2	1	1	1	1	0	1	0	1	0	5	3	0	4	2	3	1	1	4
Music Minded	8	4	99	8	13	5	28	3	0	31	291	36	74	19	17	8	24	0	3	23	3	17	15	13	34	124	14	193	8	3	61	15	4	5	15	4	3	7	39	15	98	9	10	6	8	296	72	16	151	42	3	7	21	3	163	37	3	4	1	28	6	7	57	19	7	7	6	30	47	118	6	37	19	10	9	3	6	19	5	6	9	36	6	51	8	18	10	2	17	8	109	0	11	61	65	3	198	100	18	3	7	8	10	14	20	9	1	3	14	2	35	97	99	18	16	111	52	2	26	5	160	9	6	3	5	29	4	29	2	5	50	19	12	23	28	5	20	4	62	70	28	5	2	5	9	1	6	2	2	18	19	5	72	47	5	16	22	9	138	2	4	3	8	27	104	19	39	6	3	4	3	6	56	34	8	11	4	135	0	2	3	9	4	9	10	1520	20	22	18	3	1	14	123	17	33	1	0	12	12	153	57	8	13	45	7	3	4	6	90	86	37	22	15	140	4	4	10	9	2	10	30	7	0	24	19	3	12	5	2	6	2	7	9	4	4	15	16	279	60	1	16	6	274	17	9	71	4	26	8	9	344	10	9	36	77	73	133	228	4	19	0	37	3	2	0	12	2	2	11	35	12	47	1	10	13	3	12	43	3	23	10	15	11	13	27	2	0	35	6	3	17	8	50	5	2	7	5	8	21	85	1	1	26	18	11	12	325	32	17	49	36	1	4	36	8	139	5	1	4	23	8	136	0	10	5	9	4	353	7	32	34	2	4	9	7	3	22	17	85	6	0	0	4	4	21	4	11	9	8	3	46	15	14	4	0	4	5	5	6	7	8	12	1	34	5	12	42	37	1	10	15	8	14	5	2	13	58	23	36	39	5	4	9	3	7	1	71	1	3	37	34	9	2	70	2	31	4	4	8	50	9	132	49	7	8	8	1	498	19	33	29	25	1	6	27	113	12	0	49	27	3	38	6	7	4	4	3	108	0	9	1	11	48	71	181	3	9	4	4	41	2	11	23	17	1	4	0	21	5	19	11	4	0	15	6	1	21	7	4	48	15	8	4	9	18	23	79	38	5	15	38	0	18	10	7	4	6	7	4	48	14	6	2	4	16	66	34	35	28	6	8	8	9	30	14	13	8	9	7	28
Benny No Pals	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Durwin Rice	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nighte.owle	9	1	2	2	0	0	2	1	1	1	0	0	4	2	9	3	9	0	2	1	4	2	2	4	6	5	0	0	1	2	0	1	8	4	9	3	1	3	1	2	2	1	0	0	3	0	2	2	2	2	3	1	2	4	1	2	4	3	0	3	2	10	1	3	2	0	7	7	8	6	1	3	1	1	3	0	3	0	4	5	1	6	0	1	1	2	0	4	5	1	3	3	1	15	0	2	2	1	4	0	2	3	0	4	2	4	1	0	2	1	2	1	3	3	3	2	4	2	1	0	6	0	0	1	9	2	1	4	2	4	4	5	0	5	0	2	3	1	3	5	2	2	0	3	0	1	3	1	2	1	3	1	0	3	2	5	8	2	0	2	0	3	3	1	1	5	4	8	1	0	1	3	8	1	1	1	2	1	3	2	2	4	3	5	3	3	6	0	2	0	7	1	1	3	0	4	0	1	0	0	0	6	3	8	2	1	7	3	0	2	4	0	3	5	2	3	1	0	18	0	1	0	1	2	2	1	0	2	1	0	0	0	1	4	5	0	3	1	3	1	2	1	0	6	6	0	5	10	3	9	0	1	1	5	3	6	1	19	2	3	1	1	3	4	0	1	5	3	1	0	0	0	1	1	3	2	2	1	0	2	1	1	1	5	3	0	0	2	1	0	0	2	1	3	0	1	3	2	0	3	16	2	0	0	0	2	0	2	0	1	6	2	1	0	2	2	0	3	1	0	1	0	1	0	2	3	0	1	0	1	0	1	0	3	4	1	0	0	1	2	1	2	2	0	2	1	4	3	4	0	3	1	8	1	7	3	1	1	2	0	0	3	1	0	1	1	2	3	2	2	2	4	1	0	3	0	1	1	0	2	0	3	4	6	1	1	1	0	0	0	0	1	2	2	5	1	1	3	0	1	3	0	0	0	6	4	0	0	1	1	3	2	1	1	0	0	13	1	3	1	3	0	3	0	1	5	0	0	8	1	1	0	1	3	0	14	0	0	7	1	1	5	0	2	1	5	2	8	3	2	1	0	0	3	1	0	1	1	0	4	1	0	0	2	0	1	0	3	6	0	2	0	1	2	7	2	3	2	4	2	0	2	1	5	0	0	0	1	4	2	0	0	1	1	0	0	1	0	2	2
